name,frame,ra,dec,band_idx,wavelength_old,receiver_old,cfg_A_old,cfg_B_old,cfg_C_old,cfg_D_old,uvmin_kl_old,uvmax_kl_old,wavelength_new,receiver_new,cfg_A_new,cfg_B_new,cfg_C_new,cfg_D_new,uvmin_kl_new,uvmax_kl_new
1707+456,J2000,17h07m17.753418s,"45d36'10.552760""",0,20cm,L,S,S,X,X,12.0,,20cm,L,S,S,X,X,12.0,
1707+456,J2000,17h07m17.753418s,"45d36'10.552760""",1,6cm,C,S,S,S,X,10.0,250.0,6cm,C,S,S,S,X,10.0,250.0
1707+456,J2000,17h07m17.753418s,"45d36'10.552760""",2,3.7cm,X,S,S,S,S,400.0,,3.7cm,X,S,S,S,S,,400.0
1709-174,J2000,17h09m34.345380s,"-17d28'53.364800""",0,20cm,L,,,S,X,6.0,,20cm,L,,,S,X,6.0,
1710+460,J2000,17h10m44.0516s,"46d01'29.588""",0,90cm,P,X,S,S,X,1.0,5.0,90cm,P,X,S,S,X,1.0,5.0
1710+460,J2000,17h10m44.0516s,"46d01'29.588""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
1712-281,J2000,17h12m57.0055s,"-28d09'33.056""",0,90cm,P,X,X,S,S,1.0,,90cm,P,X,X,S,S,,1.0
1714-252,J2000,17h14m47.8570s,"-25d14'35.144""",0,90cm,P,S,S,S,X,1.0,,90cm,P,S,S,S,X,1.0,
1714-252,J2000,17h14m47.8570s,"-25d14'35.144""",1,20cm,L,,P,P,S,2.0,,20cm,L,,P,P,S,2.0,
1716+218,J2000,17h16m11.190687s,"21d52'13.667720""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
1720-358,J2000,17h20m21.8042s,"-35d52'47.708""",0,3.7cm,X,X,S,,,400.0,,3.7cm,X,X,S,,,,400.0
1721+357,J2000,17h21m09.491039s,"35d42'16.063500""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
1724+400,J2000,17h24m05.428848s,"40d04'36.456820""",2,3.7cm,X,S,X,X,X,100.0,,3.7cm,X,S,X,X,X,100.0,
1727+455,J2000,17h27m27.650808s,"45d30'39.731390""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
1728+502,J2000,17h28m18.623853s,"50d13'10.470010""",0,20cm,L,W,W,X,X,10.0,,20cm,L,W,W,X,X,10.0,
1733-130,J2000,17h33m02.705790s,"-13d04'49.548230""",0,20cm,L,S,X,X,P,40.0,3.0,20cm,L,S,X,X,P,40.0,3.0
1733-130,J2000,17h33m02.705790s,"-13d04'49.548230""",2,3.7cm,X,P,P,S,S,15.0,,3.7cm,X,P,P,S,S,15.0,
1734+094,J2000,17h34m58.376995s,"09d26'58.260060""",0,20cm,L,P,P,S,X,7.5,,20cm,L,P,P,S,X,7.5,
1735+362,J2000,17h35m48.086675s,"36d16'45.611390""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
1735+508,J2000,17h35m49.005180s,"50d49'11.565860""",0,20cm,L,X,X,X,X,10.0,,20cm,L,X,X,X,X,10.0,
1739+476,J2000,17h39m57.129066s,"47d37'58.361210""",0,20cm,L,P,P,S,X,8.0,,20cm,L,P,P,S,X,8.0,
1739+499,J2000,17h39m27.390494s,"49d55'03.368280""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
1740+521,J2000,17h40m36.977850s,"52d11'43.407500""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
1744+402,J2000,17h44m25.095896s,"40d14'48.140800""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
1744-312,J2000,17h44m23.5826s,"-31d16'35.986""",1,6cm,C,S,S,S,X,10.0,,6cm,C,S,S,S,X,10.0,
1744-312,J2000,17h44m23.5826s,"-31d16'35.986""",2,3.7cm,X,S,S,S,S,5.0,,3.7cm,X,S,S,S,S,5.0,
1745-078,J2000,17h45m27.1040s,"-07d53'03.600""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
1745-290,J2000,17h45m40.0383s,"-29d00'28.069""",0,3.7cm,X,,,X,X,40.0,,3.7cm,X,,,X,X,40.0,
1745-290,J2000,17h45m40.0383s,"-29d00'28.069""",1,2cm,U,,,X,X,40.0,,2cm,U,,,X,X,40.0,
1745-290,J2000,17h45m40.0383s,"-29d00'28.069""",2,1.3cm,K,S,S,S,X,40.0,,1.3cm,K,S,S,S,X,40.0,
